name,affiliation
Brian Carolan,City University of New York
Brian E. Vaughn,Auburn University
Brian F. Schaffner,University of Massachusetts
Brian Francis,Lancaster University
Brian Keegan,University of Colorado
Brian Rubineau,McGill University
Brian S. Mustanski,Northwestern University
Brigham S. Anderson,Carnegie Mellon University
Brijesh Singh,IIT Guwahati
Britta Renner,University of Konstanz
Britta Ruhnau,University of Dortmund
Brooke Foucault Welles,Northeastern University
Bruce A. Desmarais,Pennsylvania State University
Bruce C. Straits,University of California - Santa Barbara
Bruce Cronin,University of Greenwich
C. Christina Mehta,Emory University
C. Deniz Yenigün,Istanbul Bilgi University
C. Prem Sankar,University of Kerala
C. S. Shaijumon,Indian Institute of Space Science and Technology
Cai Fu,Huazhong University of Science and Technology
Caitlin E. Hughes,UNSW
Caitlin Porter,Purdue University
Caiwei Yuan,Harbin Institute of Technology
Camellia Sarkar,IIT Indore
Camille Roth,CNRS
Carl A. Latkin,Johns Hopkins University
Carl Nordlund,Linköping University
Carlene Wilson,Flinders University
Carlo Lipizzi,Stevens Institute of Technology
Carlo Morselli,University of Montreal
Carlo Piccardi,Politecnico di Milano
Carlos Lozares,Autonomous University of Barcelona
Carmen Ramos Carvajal,University of Oviedo
Carol Lynn Martin,Arizona State University
Carol Xiaojuan Ou,Tilburg University
Caroline Acker,Carnegie Mellon University
Carolyn J. Anderson,University of Illinois at Urbana-Champaign
Carter T. Butts,University of California - Irvine
Cassie McMillan,Pennsylvania State University
Caterina Giannetti,University of Bologna
Catherine A. Calder,Ohio State University
Catherine Riegle-Crumb,University of Texas at Austin
Catherine T. Shea,Carnegie Mellon University
Catholijn M. Jonker,Leiden University
Cécile Emery,London School of Economics and Political Science
Cecilia Menjívar,University of Kansas
Ceyhun Eksin,Georgia Institute of Technology
Chaitanya Shivade,Amazon Inc.
Chamil Kulatunga,University College Dublin
Chandra Muller,University of Texas at Austin
Changbing Tang,Zhejiang Normal University
Changjun Jiang,Tongji University
Changqi Wang,Tongji University
Changqing Luo,Virginia Commonwealth University
Chao Chen 0015,Deakin University
Chao Liang,York University
Chaochao Li,Zhengzhou University
Chaodong Wang,Tongji University
Chaojie Ji,Chinese Academy of Sciences
Chaoxi Li,Shenzhen University
Charith Perera,Open University
Charles Carroll,University of Groningen
Charles F. Mann,Southern Methodist University
Charles J. Gomez,Stanford University
Charles Kadushin,Brandeis University
Charles M. Macal,Argonne National Laboratory
Charlotte Struyve,KU Leuven
Chau Yuen,Singapore University of Technology and Design
Chelsea C. White III,Georgia Institute of Technology
Chen Diao,Ningxia University
Chen Lv,Cranfield University
Chen Wang 0011,Huazhong University of Science and Technology
Chen Wang 0042,Northeastern University
Chenbo Fu,Zhejiang University
Cheng Guo 0001,Dalian University of Technology
Cheng Long,Nanyang Technological University
Cheng Wang 0001,Tongji University
Cheng Wang 0010,University of Notre Dame
Cheng-Shang Chang,National Tsing Hua University
Cheng-Te Li,National Cheng Kung University
Cheng-Zhong Xu 0001,Chinese Academy of Sciences
Chengjue Yuan,Shanghai Jiao Tong University
Chengwei Liu,University of Warwick
Chengwen Luo 0001,Shenzhen University
Chenhan Zhang,University of Technology Sydney
Chenwang Zheng,Beijing Jiaotong University
Cherie Noteboom,Dakota State University
Chetan Harichandra Mendhe,Lakehead University
Chi Harold Liu,Beijing Institute of Technology
Chia-Yu Lin,Yuan Ze University
Chiara Broccatelli,University of Glasgow
Chiara Pulice,Dartmouth College
Chien-Te Wu,National Taiwan University
Chih-Hang Wu,Kansas State University
Chih-Ping Chou,University of Southern California
Chih-Ya Shen,National Tsing Hua University
Ching-Chu Huang,National Tsing Hua University
Ching-Ling Cheng,National Taiwan Normal University
Chloé Meredith,KU Leuven
Chloé Provost,University of Montreal
Chris Baerveldt,University of Utrecht
Chris Hankin,Imperial College London
Chris J. Lintott,University of Oxford
Chris Muelder,University of California - Davis
Chris Phethean,University of Southampton
Chris Snijders,Eindhoven University of Technology
Christian Aßmann,University of Bamberg
Christian Buchta,Institute for Service Marketing and Tourism
Christian E. G. Steglich,University of Groningen
Christian Henning,University of Kiel
Christian R. Shelton,University of California - Riverside
Christian Steglich,University of Groningen
Christian Tallberg,Stockholm University
Christina Prell,University of Maryland - College Park
Christina Salmivalli,University of Turku
Christofer R. Edling,Lund University
Christoph H. Loch,HP Labs
Christoph Houman Ellersgaard,Copenhagen Business School
Christoph Stadtfeld,ETH Zurich
Christophe Vandeviver,Ghent University
Christopher C. Yang,Drexel University
Christopher J. Cameron,Cornell University
Christopher L. Magee,Massachusetts Institute of Technology
Christopher Marquis,Harvard University
Christopher McCarty,University of Florida
Christopher R. Browning,Ohio State University
Christopher Steven Marcum,National Human Genome Research Institute
Christopher Sukhu,University of Chicago
ChuanRen Liu,University of Tennessee
Chun Xu,Sichuan University
Chunbo Luo,University of Exeter
Chungang Yan,Tongji University
Chunhua Gu,Shanghai University
Chunming Rong,University of Stavanger
Chunxiang Xu,UESTC
Chyi-In Wu,Academia Sinica
Ciro Cattuto,Institute for Scientific Interchange (ISI) Foundation
Claire Bidart,CNRS
Claude S. Fischer,University of California - Berkeley
Claudia Brandelero Rizzi,Western Paraná State University
Claudia Müller 0002,University of Siegen
Claudia Wagner,GESIS - Leibniz Institute for the Social Sciences
Clémence Magnien,CNRS
Clemens Kroneberg,Institute of Sociology
Clemens Lechner,GESIS - Leibniz Institute for the Social Sciences
Cliff Lampe,University of Michigan
Cohen R. Simpson,University of Oxford
Colin M. Gray,Purdue University
Colin Roberts,Cardiff University
Collins Census,Southwest Jiaotong University
Cong Yang,University of Siegen
Congtao Wang,Anhui University
Congyu Wu,University of Virginia
Conrad Lee,University College Dublin
Conrado Manuel,Universidad Complutense de Madrid
Cordula Wagner,NIVEL: Netherlands Institute for Health Services Research
Corey Pennycuff,University of Notre Dame
Corina Graif,Pennsylvania State University
Craig Pearson,University of Melbourne
Csaba Pléh,Central European University
Cuihua Shen,University of California - Davis
Curtis L. Maines,Liverpool John Moores University
Cynthia Giguère,University of Montreal
Cynthia M. Lakon,University of California - Irvine
Cynthia M. Webster,University of New South Wales
Cyprian Wejnert,Cornell University
D. Wayne Osgood,Pennsylvania State University
Daiyu Huang,Donghua University
Dali Ma,Drexel University
Damian A. Tamburri,Eindhoven University of Technology
Damla Turgut,University of Central Florida
Dan Braha,New England Complex Systems Institute
Dan J. Wang,Stanford University
Dan Tao,Beijing Jiaotong University
Dan Zhang 0001,Zhejiang University
Dana L. Haynie,Ohio State University
Danching Ruan,Hong Kong Baptist University
Daniel A. McFarland,Stanford University
Daniel A. Newman,University of Illinois at Urbana-Champaign
Daniel Danner,University of Applied Labour Studies
Daniel DellaPosta,Cornell University
Daniel Diermeier,University of Chicago
Daniel Franzmann,Goethe University Frankfurt
Daniel Gatica-Perez,EPFL
Daniel J. Brass,University of Kent
Daniel K. Sewell,University of Iowa
Daniel Lavenu,University of Caen
Daniel Maier,Free University
Daniel P. Enemark,University of Southern California
Daniël Paulusma,Durham University
Daniel Riehm,University of Notre Dame
Daniel S. Halgin,University of Kent
Daniel W. Soto,University of Southern California
Daniel W. Stashuk,University of Waterloo
Daniel Z. Levin,Rutgers University
Daniel Zeng,Chinese Academy of Sciences
Daniela Stoltenberg,University of Münster
Daniele Bellutta,Dartmouth College
Daniele Mascia,University of Bologna
Dante Contreras,University of Chile
Danupol Hoonsopon,Chulalongkorn University
Dany Kamuhanda,Huazhong University of Science and Technology
Daobing He,Chongqing University
Dario Borrelli,Stevens Institute of Technology
Dario Gregori,University of Torino
Darren C. Treadway,State University of New York at Buffalo
Darren M. Scott,McMaster University
Darren Scott Appling,Georgia Institute of Technology
Darryl Wright,University of Minnesota
Darshan Santani,Idiap Research Institute
David A. Bright,Flinders University
David A. Rolls,University of Melbourne
David A. Smith,University of California - Irvine
David B. Smith 0001,CSIRO
David B. Tindall,University of British Columbia
David Ben-Arieh,Kansas State University
David C. Bell,Indiana University
David D. Rowlee,University of South Carolina
David E. Eagle,Duke University
David H. Rogers,Cardiff University
David Hachen,University of Notre Dame
David Holman,University of Sheffield
David J. Roelfs,University of Louisville
David J. Yates,Bentley University
David Knoke,University of Minnesota
David Krackhardt,Carnegie Mellon University
David Kretschmer,University of Mannheim
David Lazer,Harvard University
David M. Murungi,Bentley University
David Melamed,Ohio State University
David R. Hunter,Penn State University
David R. Schaefer,University of California - Irvine
David Reitter,Google
David Savage,RMIT University
David Schoch,ETH Zurich
David Tuckett,University College London
David W. Matula,Southern Methodist University
David W. McDonald,University of Washington
David Willer,University of South Carolina
Davide Barrera,Utrecht University
Davide Vega,Uppsala University
Dawn Iacobucci,Vanderbilt University
De-Nian Yang,Institute of Information Science
Dean Lusher,Swinburne University of Technology
Debaditya Barman,Visva-Bharati University
Debarka Sengupta,Indraprastha Institute of Information Technology Delhi
Debasis Das 0001,IIT Jodhpur
Deborah I. Fels,Ryerson University
Dehai Liu,Dongbei University of Finance & Economics
Deirdre M. Kirke,National University of Ireland
Delia Baldassarri,York University
Denis Bouyssou,CNRS
Denis Gracanin,Virginia Tech
Denis Helic,Graz University of Technology
Dennis Li,The University of Texas Health Science Center at Houston
Derek Kreager,Pennsylvania State University
Derek L. Hansen,Brigham Young University
Dev Vashisth,BITS Pilani
Devon D. Brewer,University of Washington
Dexiang Yin,Huazhong University of Science and Technology
Deying Li 0001,Renmin University of China
Diana Mok,University of Western Ontario
Diane Felmlee,Pennsylvania State University
Dianne A. Van Hemert,Tilburg University
Dianxiang Xu,Northwest Normal University
Diego Perna,University of Calabria
Diliara Valeeva,University of Amsterdam
Dimitri Fazito,Federal University of Minas Gerais
Dinesh Kumar Saini,Sohar University
Ding-Zhu Du,University of Texas at Dallas
Dinnus H. M. Frijters,VU University
Dino Dittrich,Tilburg University
Dino P. Christenson,Boston University
Dirk-Jan van Veen,ETH Zurich
Dixon Vimalajeewa,Waterford Institute of Technology
Djellel Eddine Difallah,York University
Djoerd Hiemstra,University of Twente
Dmitri Goldenberg,Tel-Aviv University
Domenico Brunetto,Politecnico di Milano
Domenico De Stefano,Ca' Foscari University of Venice
Dominic DiFranzo,Cornell University
Dongkyun Im,Seoul National University
Dongning Liu,Guangdong University of Technology
Dongpu Cao,University of Waterloo
Dongwei Xu,Zhejiang University
Dongxiao Yu,Shandong University
Dorothy Espelage,University of Florida
Dorottya Kisfalusi,Hungarian Academy of Sciences
Douglas Adams 0003,University of Arkansas
Douglas D. Heckathorn,Cornell University
Douglas L. Steinley,University of Missouri
Douglas W. Lowery-North,Emory University
Drazen Cepic,University of Zadar
Du Q. Huynh,University of Western Australia
Duan-Shin Lee,National Tsing Hua University
Dumidu S. Talagala,University of Surrey
Duo Xu,Shanghai Normal University
Durvasula V. L. N. Somayajulu,Indian Institute of Information Technology
Dusit Niyato,Nanyang Technological University
Dusko Pavlovic,University of Hawaii at Manoa
Duy Quang Vu,University of Melbourne
Duy Vu,University of Melbourne
Ebin Deni Raj,Indian Institute of Information Technology
Ebrahim Sahafizadeh,University of Isfahan
Ece Batchelder,University of California - Irvine
Ed Sleebos,VU University
Edoardo Serra,Boise State University
Edward A. McBean,University of Guelph
Edward Bishop Smith,Northwestern University
Edward H. Ip,Wake Forest School of Medicine
Ee-Peng Lim,Singapore Management University
Eelke M. Heemskerk,University of Amsterdam
Efstathios Velenis,Cranfield University
Ehsan Ghezelbash,University of Tehran
Einat Minkov,University of Haifa
Eirini Milaiou,University of Athens
Eirini-Eleni Tsiropoulou,University of New Mexico
Eithne Quinn,University of Manchester
Elaine M. Hernandez,Indiana University
Elena Simperl,University of Southampton
Eleni Stai,EPFL
Eleonora Patacchini,Sapienza University of Rome
Elham Rastegari,University of Nebraska Omaha
Eli V. Olinick,Southern Methodist University
Elisa Bellotti,University of Manchester
Elisa Bertino,Purdue University
Elisa Jayne Bienenstock,Stanford University
Elisabeth L. Terhell,Vrije University Amsterdam
Elise Cappella,York University
Elisenda Molina,University Carlos III of Madrid
Elizabeth Costenbader,Johns Hopkins University
Elizabeth Reilly,Johns Hopkins University
Ella M. Atkins,University of Michigan
Ellen Harries,University of Manchester
Emilio Ferrara,University of Southern California
Emily Hoagland,Cornell University
Emily Porter,University of Washington
Emily Smith,University of California - Irvine
Emma McBryde,University of Melbourne
Emma S. Spiro,University of California - Irvine
Emmanuel Lazega,CNRS
Emre Kiciman,Microsoft
Enrica Iannuzzi,University of Foggia
Enrico Bozzo,University of Udine
Enrique González-Arangüena,Universidad Complutense de Madrid
Eran Shor,McGill University
Erez Shmueli,Tel-Aviv University
Eric Cawi,Washington University in St. Louis
Eric D. Kolaczyk,Boston University
Eric D. Widmer,University of Geneva
Eric Giannella,University of California - Berkeley
Eric Gladstone,University of Kent
Eric Horvitz,Microsoft
Eric J. Neuman,University of Illinois at Urbana-Champaign
Eric Lancaster,University of Maryland - College Park
Eric Quintane,University of Los Andes
Eric Rice,University of Southern California
Eric Schoon,University of Arizona
Eric Turkheimer,University of Virginia
Eric W. Welch,Arizona State University
Erica Briscoe,Georgia Institute of Technology
Ericsson Marin,Arizona State University
Erik Cambria,Nanyang Technological University
Erik M. Volz,University of Texas at Austin
Erin Pullen,Indiana University
Erkki Vartiainen,National Public Health Institute
Erwu Liu,Tongji University
Essi Pöyry,University of Helsinki
Esteban Moro,University Carlos III of Madrid
Eszter Berán,Catholic University
Eugen Pircalabelu,KU Leuven
Eugene C. Johnsen,University of California - Santa Barbara
Eugene Santos,Dartmouth College
Eugenius Kaszkurewicz,Federal University of Rio de Janeiro
Eunice E. Santos,Illinois Institute of Technology
Eva Huszti,University of Debrecen
Eva Jaspers,Utrecht University
Eva Kyndt,KU Leuven
Eva Vriens,Utrecht University
Evan Finley,Indiana University
Evelien Demaerschalk,University of Leuven
Evey Huang,Northwestern University
Eytan Adar,HP Labs
F. Marijn Stok,University of Konstanz
Fabian Flöck,GESIS - Leibniz Institute for the Social Sciences
Fabiana Zollo,IMT School for Advanced Studies
Fabio Casati,University of Trento
Fabio Pammolli,Politecnico di Milano
Fahad Maqbool,University of Sargodha
Falk Scholer,RMIT University
Faming Gong,China University of Petroleum
Fang Chen 0001,University of Technology Sydney
Fanzhang Li,Soochow University
Farshad Salimi Naneh Karan,University of Tennessee
Fatima Alba Rendon-Huerta,University of Guanajuato
Fatima K. Abu Salem,American University of Beirut
Fei Hao,Shaanxi Normal University
Fei Tao,Beihang University
Fei-Yue Wang 0001,Chinese Academy of Sciences
Feifei Chen 0001,Deakin University
Felicia F. Tian,Fudan University
Felix Brünker,University of Duisburg-Essen
Felix Reed-Tsochas,University of Oxford
Feng Chen 0001,University of Texas at Dallas
Feng Li 0001,Indiana University
Feng Shi 0005,University of Chicago
Feng Wang 0002,Arizona State University
Feng Wang 0020,Fujian University of Technology
Feng Xia 0001,Federation University Australia
Fenghua Zhu,Chinese Academy of Sciences
Feniosky Peña-Mora,Columbia University
Fenlin Liu,PLA Strategic Support Force Information Engineering University
Feras N. Al-Obeidat,Zayed University
Filip Agneessens,University of Trento
Filip Boen,KU Leuven
Flaminio Squazzoni,University of Brescia
Florian Daniel,Politecnico di Milano
Florian Eßer,University of Hildesheim
Florian Maire,University College Dublin
Floriana Gargiulo,CNRS
Forough Allahbakhshi,Islamic Azad University
Foster Amey,Middle Tennessee State University
Francesca Grippa,University of Salento
Francesca Pallotti,University of Greenwich
Francesca Spezzano,Boise State University
Francesco Calderoni,Università Cattolica del Sacro Cuore
Francis Lee,University of California - Irvine
Francis Tuerlinckx,University of Leuven
Francisco I. Bastos,Institute of Scientific and Technological Communication & Information in Health
François Grey,University of Geneva
Frank Tutzauer,University at Buffalo
Frank W. Takes,University of Amsterdam
Frank van Tubergen,Utrecht University
Fred Morstatter,USC Information Sciences Institute
Frédéric Varone,University of Geneva
Fredrik Liljeros,Stockholm University
Frits van Merode,Maastricht University
Fruzsina Albert,Károli Gáspár University of the Reformed Church
Fucai Zhou,Northeastern University
Fuji Ren,Tokushima University
Fuzhi Zhang,Yanshan University
Gábor Péli,University of Groningen
Gabriel A. Wainer,Carleton University
Gabriel Otero,University of Amsterdam
Gabriele Plickert,University of Toronto
Gaby G. Dagher,Boise State University
Gad Yair,The Hebrew University
Galina Daraganova,University of Melbourne
Gang Kou,Southwestern University of Finance and Economics
Gang Liang,McGill University
Gang Pan 0001,Zhejiang University
Gang Wang 0011,Virginia Tech
Gang Xiong 0001,Chinese Academy of Sciences
Gaosheng Wu,Huazhong University of Science and Technology
Gaoxing Zhao,Dalian University of Technology
Gaoyang Liu,Huazhong University of Science and Technology
Garry L. Adams,Auburn University
Garry Robins,University of Melbourne
Garud Iyengar,Columbia University
Gary An,University of Chicago
Gasper Koren,University of Ljubljana
Gaurav Sharma 0009,Lakehead University
Gautam Srivastava,Brandon University
Gbemisola Adejumo,University of Waterloo
Gemma Edwards,University of Manchester
Gene A. Shelley,Georgia State University
Geoff A. Gross,University at Buffalo
